,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Bajali,5,5(Sarupeta | 5),,,,0(Sarupeta | 0),,,,06-07-2022
1,,Biswanath,2,0(Gohpur | 0),,,,2(Gohpur | 2),,,,06-07-2022
2,,Cachar,173,"173(Silchar | 46, Katigorah | 98, Sonai | 19, Lakhipur | 10)",,,,"0(Silchar | 0, Katigorah | 0, Sonai | 0, Lakhipur | 0)",,,,06-07-2022
3,,Chirang,1,1(Bijni | 1),,,,0(Bijni | 0),,,,06-07-2022
4,,Darrang,1,0(Sipajhar | 0),,,,1(Sipajhar | 1),,,,06-07-2022
5,,Dhemaji,4,0(Jonai | 0),,,,4(Jonai | 4),,,,06-07-2022
6,,Dibrugarh,4,"2(Dibrugarh East | 2, Chabua | 0)",,,,"2(Dibrugarh East | 0, Chabua | 2)",,,,06-07-2022
7,,Dima-Hasao,21,21(Haflong | 21),,,,0(Haflong | 0),,,,06-07-2022
8,,Hailakandi,2,2(Algapur | 2),,,,0(Algapur | 0),,,,06-07-2022
9,,Kamrup,3,"3(Kayan | 2, North Ghy | 1)",,,,"0(Kayan | 0, North Ghy | 0)",,,,06-07-2022
10,,Karimganj,36,"28(Nilambazar | 6, RK Nagar | 3, Karimganj | 13, Badarpur | 6)",,,,"8(Nilambazar | 8, RK Nagar | 0, Karimganj | 0, Badarpur | 0)",,,,06-07-2022
11,,Lakhimpur,3,0(Subansiri | 0),,,,3(Subansiri | 3),,,,06-07-2022
12,,Morigaon,7,"7(Morigaon | 5, Bhuragaon | 2)",,,,"0(Morigaon | 0, Bhuragaon | 0)",,,,06-07-2022
13,,Nagaon,22,"22(Kampur | 5, Nagaon | 4, Raha | 13)",,,,"0(Kampur | 0, Nagaon | 0, Raha | 0)",,,,06-07-2022
14,,Sivasagar,9,"0(Sivsagar | 0, Demow | 0)",,,,"9(Sivsagar | 1, Demow | 8)",,,,06-07-2022
15,,Tamulpur,2,2(Goreswar | 2),,,,0(Goreswar | 0),,,,06-07-2022
16,,Total,295,266,,,,29,,,,06-07-2022
