,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Bajali,77,"46(Sarupeta | 9, Bajali | 37)",,,,"31(Sarupeta | 1, Bajali | 30)",,,,20-06-2022
1,,Baksa,13,"5(Baska | 1, Baganpara | 1, Barama | 3, Barnagar RC part | 0)",,,,"8(Baska | 1, Baganpara | 2, Barama | 0, Barnagar RC part | 5)",,,,20-06-2022
2,,Barpeta,112,"96(Baghbar | 5, Barpeta | 39, Sarthebari | 15, Chenga | 37, Barnagar | 0)",,,,"16(Baghbar | 0, Barpeta | 0, Sarthebari | 6, Chenga | 3, Barnagar | 7)",,,,20-06-2022
3,,Biswanath,3,0(Biswanath | 0),,,,3(Biswanath | 3),,,,20-06-2022
4,,Bongaigaon,32,"30(Boitamari | 2, Manikpur | 2, Srijangram | 26)",,,,"2(Boitamari | 1, Manikpur | 1, Srijangram | 0)",,,,20-06-2022
5,,Cachar,148,"129(Silchar | 58, Sonai | 14, Udharbond | 1, Katigorah | 37, Lakhipur | 19)",,,,"19(Silchar | 0, Sonai | 6, Udharbond | 0, Katigorah | 9, Lakhipur | 4)",,,,20-06-2022
6,,Chirang,14,"12(Bijni | 10, Bengtal | 2)",,,,"2(Bijni | 0, Bengtal | 2)",,,,20-06-2022
7,,Darrang,99,"16(Mangaldoi | 5, Patharighat | 4, Dalgaon | 1, Sipajhar | 6)",,,,"83(Mangaldoi | 55, Patharighat | 8, Dalgaon | 8, Sipajhar | 12)",,,,20-06-2022
8,,Dhemaji,6,"0(Jonai | 0, Gogamukh | 0)",,"6(Jonai | 4, Gogamukh | 2)",,,,,,20-06-2022
9,,Dhubri,37,"37(Chapar | 2, Athani | 4, Dhubri | 1, Golakganj | 1, Bilasipara | 29)",,"0(Chapar | 0, Athani | 0, Dhubri | 0, Golakganj | 0, Bilasipara | 0)",,,,,,20-06-2022
10,,Dima-Hasao,30,25(Haflong | 25),,5(Haflong | 5),,,,,,20-06-2022
11,,Goalpara,105,"64(Balijana | 28, Matia | 6, Lakhipur | 30)",,"41(Balijana | 11, Matia | 0, Lakhipur | 30)",,,,,,20-06-2022
12,,Golaghat,9,0(Bokakhat | 0),,9(Bokakhat | 9),,,,,,20-06-2022
13,,Hailakandi,30,"5(Algapur | 3, Katlicherra | 2, Lala | 0, Hailakandi | 0)",,"25(Algapur | 1, Katlicherra | 3, Lala | 13, Hailakandi | 8)",,,,,,20-06-2022
14,,Hojai,78,"48(Doboka | 14, Hojai | 34, Lanka | 0)",,"30(Doboka | 19, Hojai | 6, Lanka | 5)",,,,,,20-06-2022
15,,Kamrup,80,"50(Rangia | 18, Kayan | 1, Kamalpur | 17, Hajo | 10, North Ghy | 4)",,"30(Rangia | 1, Kayan | 4, Kamalpur | 15, Hajo | 6, North Ghy | 4)",,,,,,20-06-2022
16,,Kamrup (M),5,2(Guwahati | 2),,3(Guwahati | 3),,,,,,20-06-2022
17,,Karbi Anglong West,4,0(Donkamokam | 0),,4(Donkamokam | 4),,,,,,20-06-2022
18,,Karimganj,98,"40(Karimganj | 19, Badarpur | 18, Patherkandi | 3, RK Nagar | 0, Nilambazar | 0)",,"58(Karimganj | 0, Badarpur | 12, Patherkandi | 8, RK Nagar | 25, Nilambazar | 13)",,,,,,20-06-2022
19,,Lakhimpur,27,"0(Bihpuria | 0, Dhakuakhana | 0, Nowboicha | 0, Subansiri | 0, North Lakhimpur | 0)",,"27(Bihpuria | 11, Dhakuakhana | 1, Nowboicha | 4, Subansiri | 6, North Lakhimpur | 5)",,,,,,20-06-2022
20,,Morigaon,20,"0(Morigaon | 0, Bhuragaon | 0)",,"20(Morigaon | 5, Bhuragaon | 15)",,,,,,20-06-2022
21,,Nagaon,127,"50(Nagaon | 22, Raha | 11, Kampur | 17, Samaguri | 0)",,"77(Nagaon | 25, Raha | 39, Kampur | 8, Samaguri | 5)",,,,,,20-06-2022
22,,Nalbari,107,"105(Tihu | 20, Paschim Nalbari | 21, Banekuchi | 14, Barkhetri | 1, Barbhag | 20, Nalbari | 29, Ghograpar | 0)",,"2(Tihu | 0, Paschim Nalbari | 0, Banekuchi | 0, Barkhetri | 0, Barbhag | 0, Nalbari | 1, Ghograpar | 1)",,,,,,20-06-2022
23,,Sonitpur,26,"2(Chariduar | 1, Dhekiajuli | 1, Thelamara | 0, Tezpur | 0)",,"24(Chariduar | 6, Dhekiajuli | 3, Thelamara | 4, Tezpur | 11)",,,,,,20-06-2022
24,,Tamulpur,52,"22(Tamulpur | 14, Goreswar | 8)",,"30(Tamulpur | 12, Goreswar | 18)",,,,,,20-06-2022
25,,Tinsukia,20,"1(Doomdooma | 1, Tinsukia | 0)",,"19(Doomdooma | 1, Tinsukia | 18)",,,,,,20-06-2022
26,,Udalguri,66,"25(Udalguri | 10, Mazbat | 7, Kalaigaon | 3, Harisinga | 5, Khairabari | 0)",,"41(Udalguri | 25, Mazbat | 0, Kalaigaon | 12, Harisinga | 0, Khairabari | 4)",,,,,,20-06-2022
27,,Total,1425,810,,615,,,,,,20-06-2022
