Date,District,Number,Details
21-06-2023,Bajali,3,"Bajali - Patacharkuchi to Nityananda | Kuwara | Report received from AEE, PWD Roads dated 21/06/2023 at 10AM | (Long - 91.227660, Lat - 26.525417, Dept - PWD (NH Roads)),  Nityananda to Pipla | Pipla | Report received from AEE, PWD Roads dated 21/06/2023 at 10.30 AM | (Long - 91.256251, Lat - 26.527099, Dept - PWD (NH Roads)),  Nityananda to Akaya | Kaharpara | Report received from AEE, PWD Roads dated 21/06/2023 at 10.30 AM | (Long - 91.207493, Lat - 26.599310, Dept - PWD (NH Roads))"
21-06-2023,Baksa,1,"Baganpara - Dhamdham to Baganpara main road have been damaged on 21/06/2023 approx 40 mtr | Gorbhitor | | (Long - 0.000000, Lat - 0.000000, Dept - PWD (Roads))"
21-06-2023,Barpeta,1,"Barpeta - Kadamguri Charichain Road | Kadamguri | As per report received from PWD Dept. a portion of Kadamguri Charichain Road washed away by Flood sater. Date:21/06/2023 | (Long - 90.994956, Lat - 26.389730, Dept - PWD (Roads))"
21-06-2023,Bongaigaon,17,"Manikpur - Dangaigaon kirtanpara Road | Dangaigaon | Water logging from Ch.1000.00m to Ch.1200.00m and Road surface damaged. as per report received from PWRD, Bongaigaon dated- 21.06.2023 | (Long - 90.736267, Lat - 26.441949, Dept - PWD (Roads)),  Bhandara pt.I to Bhandara pt.V PMGSY Road | Bhandara | Submerged from Ch.2750.00m to Ch.2950.00m, submereged depth is 45cm.as per report received from PWRD, Bongaigaon dated- 21.06.2023 | (Long - 90.748306, Lat - 26.424079, Dept - PWD (Roads)),  Bongaigaon - Kharija Dolaigaon pt-II to SSB camp Road | Kharija | Shoulder and ICBP hard crust damaged at Ch.2nd Km.as per report received from PWRD,Bongaigaon dated- 21.06.2023 | (Long - 90.580864, Lat - 26.487310, Dept - PWD (Roads)),  SH2 to Kukurmari Sutarpara Road via PWRD office | Sutarpara Road | Erossion and depression occurred at hard crust portion near FCI road at 1st Km.as per report received from PWRD,Bongaigaon dated- 21.06.2023 | (Long - 90.544766, Lat - 26.490591, Dept - PWD (Roads)),  Bongaigaon Bhakrivita road | Bhakrivita | Hard crust damaged and pot hole occurred at Ch. 2nd Km. as per report received from PWRD,Bongaigaon dated- 21.06.2023 | (Long - 90.546857, Lat - 26.498114, Dept - PWD (Roads)),  Bongaigaon college to Dolaigaon road | Dolaigaon | Road surface damaged and water stagnant at various surfaces at Ch.0.00 to Ch.200.00m.as per report received from PWRD,Bongaigaon dated- 21.06.2023 | (Long - 90.538297, Lat - 26.484983, Dept - PWD (Roads)),  Deuripara | Bagheswari temple to Deuripara Road | Hard crust and shoulder damaged and water stagnant at Ch.0.00 to Ch.180.00m.as per report received from PWRD,Bongaigaon dated- 21.06.2023 | (Long - 90.563631, Lat - 26.468217, Dept - PWD (Roads)),  B.Ed College approach Road | B.Ed College | Hard crust and shoulder damaged and water stagnant at Ch. 1st Km. as per report received from PWRD,Bongaigaon dated- 21.06.2023 | (Long - 90.564221, Lat - 26.470926, Dept - PWD (Roads)),  Srijangram - T01 to Solmara Road | Solmara | Culvert approach damaged at Ch.500.00m. as per report received from PWRD, Bongaigaon dated- 21.06.2023 | (Long - 90.679589, Lat - 26.389664, Dept - PWD (Roads)),  Tulungia Borghola Road | Tulungia | Culvert approach damaged at Ch.6500.00m.as per report received from PWRD, Bongaigaon dated- 21.06.2023 | (Long - 90.695414, Lat - 26.387847, Dept - PWD (Roads)),  Saripunia-II to Saripunia-I Road | Saripunia | Erosion on embakment at Ch.15th Km.as per report received from PWRD, Bongaigaon dated- 21.06.2023 | (Long - 90.679425, Lat - 26.412231, Dept - PWD (Roads)),  Haripur to new Piradhara Road | Piradhara | Shoulder damaged at 1st and 2nd Km. as per report received from PWRD, Bongaigaon dated- 21.06.2023 | (Long - 90.682180, Lat - 26.302310, Dept - PWD (Roads)),  Abhayapuri Police station to 8th APBN Road | Abhayapuri | Shoulder and hard cust damaged at 1st Km.as per report received from PWRD, Bongaigaon dated- 21.06.2023 | (Long - 90.659410, Lat - 26.344230, Dept - PWD (Roads)),  Kuchbari Bhaghekhaiti to Mererchar(Balargudam) Road | Mererchar | Shoulder damaged at Ch.300.00m Ch. 500.00m and Ch.800.00m.as per report received from PWRD, Bongaigaon dated- 21.06.2023 | (Long - 90.714300, Lat - 26.289520, Dept - PWD (Roads)),  Borigaon Bamungaon Road | Bamungaon | Submereged and Shoulder damaged.as per report received from PWRD, Bongaigaon dated- 21.06.2023 | (Long - 90.673350, Lat - 26.339480, Dept - PWD (Roads)),  Abul Kalam Ajad Road | Srijangram | Hard crust damaged at Ch. 300.00 and Ch.500.00m.as per report received from PWRD, Bongaigaon dated- 21.06.2023 | (Long - 90.666830, Lat - 26.330720, Dept - PWD (Roads)),  Lal Bahadur Sastri Road | Srijangram | Hard crust damaged at Ch. 1st Km.as per report received from PWRD, Bongaigaon dated- 21.06.2023 | (Long - 90.660640, Lat - 26.329320, Dept - PWD (Roads))"
21-06-2023,Chirang,2,"Bijni - Bijni Subhaijhar Road to No 1 Sisubari | No 1 Sisubari | As reported by PWD Bijni (R&B) Sub Division, Bijni Subhaijhar Road to No 1 Sisubari damaged at No 1 Sisubari. Length=3.50 mtr, Breadth= 2.50 mtr, Depth=2.00 mtr. Date of Occurrence=21-06-2023 | (Long - 90.638557, Lat - 26.523069, Dept - PWD (Roads)),  Borobazar Bhabanipur Road to No 2 Dogorpara | No 2 Dogorpara | As reported by PWD Bijni (R&B) Sub Division, Borobazar Bhabanipur Road to No 2 Dogorpara road damaged at No 2 Dogorpara. Length=20.00 mtr, Breadth= 2.00 mtr, Depth=3.50 mtr. Date of Occurrence=21-06-2023 | (Long - 90.619491, Lat - 26.596530, Dept - PWD (Roads))"
21-06-2023,Darrang,4,"Patharighat - Turai to Taragaon Road | Taragaon | As reported by JE, PWD Road submerged at length 1 km dated.21/06/2023 | (Long - 26.424246, Lat - 91.821298, Dept - PWD (Roads)),  MPK to Hussainchubri Road | Hussainchubri | Road submerged at length CH. 1 km Length L= 600 mt Depth 0.40 mt.dated.21/06/2023 | (Long - 91.816143, Lat - 26.500555, Dept - PWD (Roads)),  MPK road at 21st km | MPK Road | As reported ,Submerged length=300m, depth = 0.35m.dated.21/06/2023 | (Long - 91.845116, Lat - 26.483933, Dept - PWD (Roads)),  Dalgaon - Barhabi to Mazgaon road | Barhabi to Mazgaon road | As per report received from PWD(R) barhabi to mazgaon PMGSY road shoulder has been damaged at Ch-1650m. immediate restoration is required. Date of occurrence- 20/06/2023 | (Long - 92.126601, Lat - 26.637039, Dept - P&RD)"
21-06-2023,Dhubri,2,"Chapar - NH 31 at Chirakuta to Tokrabandha quarry road surface damaged on Dated 20-06-2023 | Chirakuta | Road damaged due to over flow of water by the river Gaurang | (Long - 90.242500, Lat - 26.220760, Dept - PWD (Roads)),  Road from Chirakuta to Jamduar pt -I submerged due to water on Dated 20-06-2023 | Jamduar Pt-I | Road damaged due to over flow of water by the river Gaurang | (Long - 90.242700, Lat - 26.220600, Dept - PWD (Roads))"
21-06-2023,Goalpara,1,"Matia - Garomari to Nabagata Simlitola | Nabagata Simlitola | Road submerged from Ch. 2600 M to 2800 M and from 2900 M to 3100 M and the approch of Bridge No 3/1 has been eroded and subsided, Date - 20/06/2023, reported by AEE, PWRD, Goalpara East Territorial Road Sub-Division, Goalpara | (Long - 90.884238, Lat - 26.078810, Dept - PWD (Roads))"
21-06-2023,Kamrup,2,"Goroimari - Road Submerged length 150 m breadth 6m Tukrapara to Dakhin Choudharypam as reported by AEE, PWRD, Chhaygaon, dtd- 20.06.2023 | Goroimari | | (Long - 91.196227, Lat - 26.090307, Dept - PWD (Roads)),  Road Submerged length 100 m breadth 6m Bowrabhitha to Monjuribilor Dhundhuntari as reported by AEE, PWRD, Chhaygaon, dtd- 20.06.2023 | Goroimari | | (Long - 91.210927, Lat - 26.083880, Dept - PWD (Roads))"
21-06-2023,Kokrajhar,9,"Bagribari - BASHBARI MOWAMARI ROAD | Mowamari | As reported by Executive Engineer, PWRD, Dhubri Civil Sub-Division, Territorial Road Division side berm, hard crust have been badly damaged and eroded due to heavy rainfall in last few days. Date-21.06.2023 | (Long - 89.997472, Lat - 26.086477, Dept - PWD (Roads)),  Gossaigaon - Panbari to Sialmari Road | Panbari & Sialmari | As reported by AEE PWD RR Kachugaon Sub division Dated 21.06.2023 due to continous rainfall right side of road formation is badly erosion (L-120.00M) by the Sialmari River | (Long - 90.053435, Lat - 26.511800, Dept - PWD (Roads)),  Bhawraguri - Rupshi Pt II to Rupshi Railway Gate (Kumguri beel to near choutara Railway line PWD Road to Rupshigaon Pt II) | Eroded at Ch 300.00 m | As reported by AEE PWD RR Kachugaon & BDO, Gossaigaon due to incessant heavy rainfall from 16th June, 2023 to 21.06.2023 at Rupshigaon pt ii village rupshi pt ii to rupshi railway gate Road formation eroded at ch 300.00m | (Long - 26.405640, Lat - 90.075860, Dept - P&RD),  Dotma - Serfanguri Gossainichina Road | Serfanguri | As reported by Asstt. Exe. Engineer, PWD (RR) on 21-06-2023 Serfanguri Gossainichina Road Br. No.1/1 approaches eroded | (Long - 0.000000, Lat - 0.000000, Dept - PWD (Roads)),  Serfanguri to Kumguri via Laokriguri | Kumguri | As reported by Asstt. Exe. Engineer, PWD (RR) on 21-06-2023 Serfanguri to Kumguri via Laokriguri Br. No.1/1 approach road eroded. | (Long - 0.000000, Lat - 0.000000, Dept - PWD (Roads)),  Jogdoi Fakiragram road | Jogdoi | As reported by Asstt. Exe. Engineer, PWD (RR) on 21-06-2023 Jogdoi Fakiragram road bride approach eroded. | (Long - 0.000000, Lat - 0.000000, Dept - PWD (Roads)),  Gomobil Angthihara road | Gomobil | As reported by Asstt. Exe. Engineer, PWD (RR) on 21-06-2023 Gomobil Angthihara road bridge approach eroded at Br. No.3/1, 6/1, 6/2. | (Long - 0.000000, Lat - 0.000000, Dept - PWD (Roads)),  Gwmwbil to Anthaibari road | Gwmwbil | As reported by Asstt. Exe. Engineer, PWD (RR) on 21-06-2023 Gwmwbil to Anthaibari road culvert no.1/7 collapsed. | (Long - 0.000000, Lat - 0.000000, Dept - PWD (Roads)),  Brajakhal road | Brajakhal | As reported by Asstt. Exe. Engineer, PWD (RR) on 21-06-2023 Damage of Brajakhal road near culvert at Brajakhal. | (Long - 0.000000, Lat - 0.000000, Dept - PWD (Roads))"
